newbookid,ratings_count,average_rating,predicted_rating
266,274639,3.93,4.0
348,273442,3.85,4.0
163,271576,4.35,4.0
317,270859,4.19,4.0
279,270603,3.75,4.0
335,270402,3.99,4.0
288,270318,4.01,4.0
321,268548,4.04,4.0
332,268355,4.01,4.0
322,268318,4.18,4.0
293,268012,3.82,4.0
286,267166,4.1,4.0
394,266742,4.37,4.0
258,263685,4.24,4.0
272,263199,3.94,4.0
269,262921,4.01,4.0
330,260184,4.18,4.0
452,260048,4.1,4.0
306,259576,3.84,4.0
363,259479,4.08,4.0
295,258464,4.29,4.0
291,258319,4.28,4.0
358,257260,4.34,4.0
280,256975,3.99,4.0
384,256745,4.3,4.0
274,256480,4.36,4.0
305,256383,3.91,4.0
311,255651,4.22,4.0
301,255576,3.42,3.0
302,255531,4.19,4.0
392,254852,3.96,4.0
267,253606,4.54,5.0
340,253437,3.94,4.0
334,252564,4.33,4.0
285,251703,4.01,4.0
352,251082,3.81,4.0
364,250602,4.36,4.0
347,250221,3.96,4.0
316,250192,4.05,4.0
345,250000,3.96,4.0
357,249113,3.92,4.0
310,248804,3.7,4.0
210,248283,4.14,4.0
346,247521,3.98,4.0
304,246917,4.17,4.0
284,246602,3.64,4.0
373,245855,4.22,4.0
307,245686,4.57,5.0
326,245674,3.93,4.0
339,244842,4.27,4.0
287,244545,3.85,4.0
313,243526,4.0,4.0
387,242980,3.55,4.0
368,242503,4.1,4.0
329,241869,4.25,4.0
303,241537,3.62,4.0
341,241088,3.83,4.0
297,238940,4.18,4.0
353,238875,3.88,4.0
377,237602,4.07,4.0
369,237560,3.74,4.0
315,237272,3.74,4.0
382,236431,3.84,4.0
386,236015,3.8,4.0
328,235978,4.1,4.0
423,234247,4.02,4.0
336,233984,4.05,4.0
354,233825,3.77,4.0
370,232791,4.06,4.0
350,232489,4.08,4.0
235,232106,3.92,4.0
419,231853,4.35,4.0
342,231835,3.28,3.0
361,230181,3.85,4.0
415,230031,3.59,4.0
349,228680,3.99,4.0
250,228538,4.43,4.0
299,228371,4.01,4.0
433,227021,4.21,4.0
325,226964,4.22,4.0
379,226622,3.99,4.0
391,226564,4.35,4.0
434,226237,4.07,4.0
318,226091,4.14,4.0
418,224247,4.37,4.0
375,223932,3.83,4.0
360,223828,4.08,4.0
376,223674,3.77,4.0
390,223535,3.79,4.0
333,223432,4.3,4.0
338,222926,3.77,4.0
337,222842,4.37,4.0
343,222712,3.96,4.0
218,222678,4.19,4.0
388,222553,3.68,4.0
416,221431,4.17,4.0
331,221225,4.0,4.0
371,220301,3.91,4.0
435,220160,3.92,4.0
406,218264,3.84,4.0
366,215780,4.05,4.0
320,215453,3.9,4.0
470,214412,4.06,4.0
417,213200,3.95,4.0
447,211645,4.03,4.0
365,210682,4.25,4.0
427,210630,4.17,4.0
389,208944,4.43,4.0
381,208333,4.0,4.0
244,207889,3.92,4.0
444,207550,4.34,4.0
409,207508,4.26,4.0
543,206792,4.42,4.0
367,205986,3.94,4.0
449,205340,3.93,4.0
323,205279,4.08,4.0
451,205167,3.8,4.0
471,205064,3.84,4.0
450,203053,4.02,4.0
443,202180,4.06,4.0
385,202135,4.04,4.0
446,201499,4.15,4.0
344,201337,4.08,4.0
411,200509,3.82,4.0
424,200217,4.11,4.0
540,199872,4.2,4.0
558,199572,4.13,4.0
410,199346,3.61,4.0
359,199326,4.03,4.0
486,198809,3.85,4.0
517,198627,4.07,4.0
432,198368,4.17,4.0
535,198283,4.04,4.0
454,198083,4.24,4.0
396,197294,3.98,4.0
425,196677,3.77,4.0
402,195689,4.15,4.0
544,195424,4.18,4.0
413,195274,4.06,4.0
395,195063,3.95,4.0
456,194493,3.97,4.0
431,194013,4.01,4.0
581,193766,4.3,4.0
519,193405,3.85,4.0
475,193141,4.06,4.0
500,193140,3.76,4.0
407,192330,3.92,4.0
480,192315,4.06,4.0
372,191923,4.08,4.0
421,191850,3.79,4.0
491,191743,3.95,4.0
374,191535,4.19,4.0
583,190722,4.16,4.0
429,190590,3.97,4.0
527,190565,3.97,4.0
457,190473,3.77,4.0
422,190050,4.74,5.0
539,189938,4.34,4.0
542,189671,3.9,4.0
636,188136,4.3,4.0
473,188024,3.74,4.0
401,186613,3.79,4.0
453,185979,3.83,4.0
469,185928,3.95,4.0
420,185116,3.95,4.0
493,184759,4.31,4.0
383,184241,3.62,4.0
378,184211,3.96,4.0
490,184007,4.35,4.0
380,183988,4.02,4.0
400,183878,3.88,4.0
459,183777,4.35,4.0
441,183292,3.89,4.0
497,183255,3.94,4.0
461,182220,3.97,4.0
404,182025,3.97,4.0
525,181656,4.07,4.0
563,181323,4.03,4.0
468,181106,3.87,4.0
643,180961,3.9,4.0
445,180896,3.87,4.0
501,180320,3.75,4.0
541,179415,4.13,4.0
398,179347,3.73,4.0
561,178432,4.22,4.0
478,178188,3.66,4.0
405,178154,4.08,4.0
397,178135,4.0,4.0
463,178110,4.31,4.0
607,177796,4.48,4.0
270,177384,4.2,4.0
632,176433,4.01,4.0
496,176062,4.02,4.0
442,175883,4.02,4.0
481,175771,4.13,4.0
530,175616,4.06,4.0
600,174393,3.89,4.0
577,174280,3.85,4.0
579,174204,4.16,4.0
488,173950,4.42,4.0
586,173613,3.79,4.0
545,173469,4.29,4.0
487,173186,3.87,4.0
455,172417,3.92,4.0
569,172302,4.08,4.0
559,171599,3.77,4.0
408,171558,4.0,4.0
513,171384,4.42,4.0
472,171281,4.33,4.0
503,170841,4.12,4.0
426,170776,3.89,4.0
448,170491,3.9,4.0
602,170453,3.95,4.0
509,170096,3.76,4.0
631,169560,4.01,4.0
518,169306,4.1,4.0
440,168911,4.26,4.0
529,168727,3.55,4.0
523,168678,4.12,4.0
494,168405,4.07,4.0
482,168082,4.18,4.0
498,168037,4.11,4.0
437,168006,4.23,4.0
626,168001,4.29,4.0
538,167997,3.9,4.0
842,167848,4.29,4.0
430,167593,4.13,4.0
465,167400,3.78,4.0
511,167379,4.01,4.0
403,167332,3.95,4.0
476,167106,4.07,4.0
499,166083,3.81,4.0
438,165704,4.05,4.0
412,165675,4.23,4.0
439,165628,4.12,4.0
436,165378,3.91,4.0
681,165127,4.16,4.0
750,164832,4.23,4.0
580,164708,3.83,4.0
502,164530,4.3,4.0
492,164287,4.04,4.0
652,163054,4.02,4.0
477,162972,4.04,4.0
474,162740,3.89,4.0
624,162689,4.05,4.0
510,162595,4.2,4.0
601,162373,4.17,4.0
460,162099,4.59,5.0
774,162069,4.46,4.0
505,161173,3.81,4.0
564,161001,4.14,4.0
549,160860,4.28,4.0
591,160607,4.11,4.0
752,160485,4.49,4.0
458,160466,4.02,4.0
467,160330,3.89,4.0
512,160063,4.37,4.0
684,159774,4.54,5.0
547,159752,3.8,4.0
608,159703,4.34,4.0
515,159596,4.22,4.0
464,159457,4.43,4.0
557,159249,3.83,4.0
560,158877,3.64,4.0
641,158701,4.02,4.0
556,158215,3.65,4.0
756,158063,3.92,4.0
620,157736,4.12,4.0
504,157506,4.48,4.0
554,157395,4.38,4.0
555,156869,4.12,4.0
679,156726,4.22,4.0
548,156328,3.9,4.0
537,155977,4.03,4.0
531,155903,3.42,3.0
595,155901,3.56,4.0
485,155838,4.3,4.0
462,155658,3.75,4.0
466,155338,4.48,4.0
593,155042,3.99,4.0
484,154643,3.69,4.0
618,154517,4.09,4.0
594,154476,4.0,4.0
644,153882,4.29,4.0
599,153838,4.22,4.0
553,153821,3.87,4.0
528,153809,4.23,4.0
582,153764,3.95,4.0
479,153128,3.78,4.0
483,152906,3.98,4.0
508,152786,3.6,4.0
522,152441,4.01,4.0
615,151829,4.03,4.0
621,151789,3.89,4.0
667,151721,4.08,4.0
572,151500,4.0,4.0
576,151471,3.76,4.0
578,151160,3.72,4.0
724,151095,4.01,4.0
534,150898,4.04,4.0
565,150736,4.35,4.0
590,150512,3.96,4.0
656,150222,3.82,4.0
526,150055,3.89,4.0
645,150003,3.84,4.0
713,149702,4.29,4.0
524,149453,3.83,4.0
521,149438,4.14,4.0
575,148563,3.83,4.0
646,148480,3.48,3.0
584,147908,3.47,3.0
516,147717,4.17,4.0
648,146905,4.08,4.0
661,146073,4.22,4.0
732,145874,3.51,4.0
495,145459,3.68,4.0
532,145267,4.23,4.0
604,145161,3.9,4.0
748,145157,4.01,4.0
562,144822,4.64,5.0
685,144606,3.85,4.0
609,144591,3.64,4.0
634,144533,3.93,4.0
639,144497,3.97,4.0
711,143892,4.18,4.0
603,143622,4.46,4.0
637,143236,4.12,4.0
489,142641,4.22,4.0
675,142213,3.85,4.0
588,142168,4.09,4.0
552,142092,4.1,4.0
627,141945,4.29,4.0
628,141674,4.11,4.0
676,141641,4.19,4.0
696,141299,4.05,4.0
651,141110,3.97,4.0
950,140937,4.14,4.0
759,140599,4.22,4.0
567,140076,4.07,4.0
514,139816,4.29,4.0
506,139544,4.21,4.0
585,139501,4.42,4.0
546,139411,3.76,4.0
781,139168,3.77,4.0
612,139052,4.23,4.0
812,138871,4.21,4.0
533,138669,3.31,3.0
551,138454,3.74,4.0
672,138444,4.16,4.0
613,138377,4.12,4.0
834,138118,4.03,4.0
783,138103,3.93,4.0
650,137858,3.83,4.0
666,137639,4.0,4.0
889,137558,4.35,4.0
596,137412,3.91,4.0
663,137372,4.07,4.0
747,137047,4.17,4.0
619,136950,4.08,4.0
827,136938,4.11,4.0
633,136886,3.99,4.0
796,136761,4.24,4.0
830,136736,3.86,4.0
571,136427,4.14,4.0
701,136327,3.78,4.0
568,135979,4.25,4.0
738,135978,4.13,4.0
630,135635,3.94,4.0
671,135514,3.98,4.0
714,135448,3.89,4.0
1000,135225,4.05,4.0
597,134931,3.85,4.0
570,134849,3.94,4.0
942,134805,4.1,4.0
793,134537,4.15,4.0
841,134249,4.45,4.0
574,134177,4.0,4.0
611,134106,3.87,4.0
861,134022,4.23,4.0
589,133937,4.11,4.0
606,133728,3.8,4.0
682,133683,3.8,4.0
520,133408,4.17,4.0
550,133271,4.17,4.0
730,133264,3.41,3.0
625,133155,3.97,4.0
598,132777,4.14,4.0
670,132723,3.9,4.0
1449,132552,4.11,4.0
880,132285,4.03,4.0
808,132159,4.23,4.0
921,132087,4.19,4.0
715,132061,3.49,3.0
733,131945,3.8,4.0
1029,131906,4.25,4.0
614,131856,3.98,4.0
751,131562,4.19,4.0
587,131492,3.9,4.0
691,131481,4.31,4.0
592,131389,4.32,4.0
640,131352,3.72,4.0
875,131034,3.69,4.0
703,131004,3.87,4.0
687,130293,4.06,4.0
705,130219,3.66,4.0
873,130213,3.95,4.0
660,129811,3.55,4.0
622,129807,3.82,4.0
664,129778,3.89,4.0
507,129665,4.49,4.0
707,129350,3.95,4.0
980,129150,4.18,4.0
659,128961,3.81,4.0
642,128715,4.23,4.0
755,128450,4.22,4.0
616,128406,3.97,4.0
693,128244,3.77,4.0
814,127387,3.96,4.0
871,127379,3.88,4.0
617,127186,3.7,4.0
605,127096,3.85,4.0
665,126993,4.04,4.0
753,126864,4.18,4.0
773,126318,3.81,4.0
623,125847,3.92,4.0
728,125668,4.19,4.0
782,125474,3.63,4.0
957,125363,3.91,4.0
649,125195,3.89,4.0
804,125178,3.8,4.0
704,124876,4.1,4.0
697,124837,3.85,4.0
694,124812,3.7,4.0
765,124805,4.29,4.0
700,124786,3.88,4.0
718,124665,3.86,4.0
826,124612,3.98,4.0
731,124467,4.14,4.0
647,124371,3.71,4.0
740,124320,4.33,4.0
817,123945,4.3,4.0
1022,123843,4.53,5.0
712,123736,4.34,4.0
736,123073,3.84,4.0
868,123065,4.11,4.0
766,122540,4.3,4.0
722,122524,4.21,4.0
758,122502,4.05,4.0
729,122225,4.21,4.0
692,121966,4.04,4.0
837,121863,3.99,4.0
928,121727,4.05,4.0
674,121398,4.16,4.0
710,121373,3.67,4.0
699,121112,3.86,4.0
805,120763,3.98,4.0
726,120541,4.18,4.0
831,120475,4.01,4.0
638,120126,3.64,4.0
695,120008,4.03,4.0
720,120004,4.21,4.0
770,119933,3.65,4.0
669,119930,4.2,4.0
717,119915,4.51,5.0
727,119911,3.73,4.0
778,119851,3.97,4.0
764,119739,3.9,4.0
945,119735,3.89,4.0
904,119633,4.02,4.0
855,119607,3.97,4.0
824,119496,3.67,4.0
654,119213,3.73,4.0
761,119105,3.82,4.0
734,118951,4.42,4.0
721,118910,4.17,4.0
746,118751,4.3,4.0
1033,118624,3.91,4.0
743,118576,4.26,4.0
745,118475,3.9,4.0
803,118467,4.23,4.0
686,118045,3.98,4.0
780,117788,4.61,5.0
658,117657,3.78,4.0
798,117582,4.12,4.0
938,117508,4.26,4.0
725,117483,4.24,4.0
857,117108,4.03,4.0
706,117108,3.9,4.0
828,117103,4.23,4.0
683,116800,4.02,4.0
414,116784,3.7,4.0
852,116771,4.32,4.0
981,116687,3.68,4.0
909,116360,4.2,4.0
792,116324,4.31,4.0
362,116277,4.21,4.0
737,116260,4.14,4.0
846,116197,4.26,4.0
912,116171,4.11,4.0
689,116053,3.67,4.0
823,116026,3.82,4.0
818,115855,3.59,4.0
839,115621,3.78,4.0
760,115521,4.3,4.0
678,115393,3.98,4.0
856,114917,3.8,4.0
1002,114623,4.37,4.0
657,114531,3.71,4.0
741,113977,3.29,3.0
573,113915,3.52,4.0
810,113881,4.36,4.0
735,113855,4.36,4.0
813,113805,3.55,4.0
768,113718,4.07,4.0
610,113565,4.32,4.0
996,113400,4.14,4.0
673,113252,4.26,4.0
1020,113066,4.0,4.0
849,112733,3.74,4.0
688,112167,3.98,4.0
629,111856,3.69,4.0
786,111779,4.33,4.0
1143,111668,4.05,4.0
757,111498,4.47,4.0
767,111497,4.2,4.0
1169,111448,4.33,4.0
891,111371,4.04,4.0
791,111239,4.01,4.0
1062,111044,3.85,4.0
698,110939,4.0,4.0
690,110873,3.69,4.0
1070,110812,4.14,4.0
1027,110719,4.41,4.0
898,110693,3.86,4.0
662,110651,4.12,4.0
754,110597,4.05,4.0
850,110552,3.75,4.0
771,110481,3.81,4.0
772,110274,3.9,4.0
829,109994,3.91,4.0
763,109944,3.99,4.0
1140,109881,3.96,4.0
769,109754,4.5,4.0
635,109692,3.88,4.0
677,109642,4.27,4.0
799,109595,4.16,4.0
807,109412,3.46,3.0
962,109344,4.3,4.0
749,109313,4.26,4.0
1054,109290,3.56,4.0
859,109236,4.15,4.0
1170,109183,4.28,4.0
877,109110,4.17,4.0
851,109063,3.79,4.0
1201,108884,4.34,4.0
668,108703,3.78,4.0
894,108652,4.32,4.0
1129,108399,3.81,4.0
1306,108384,4.72,5.0
1004,108370,4.0,4.0
762,108338,4.34,4.0
809,108124,4.16,4.0
819,108062,3.79,4.0
918,108031,3.94,4.0
1130,107583,4.3,4.0
1122,107569,4.22,4.0
800,107313,4.07,4.0
888,107221,4.24,4.0
1067,106871,4.17,4.0
825,106729,3.87,4.0
1255,106608,4.18,4.0
775,106542,4.14,4.0
999,106435,4.09,4.0
797,106351,4.15,4.0
802,106336,3.7,4.0
1165,106236,4.19,4.0
719,106211,4.02,4.0
739,105961,4.34,4.0
820,105892,4.1,4.0
1061,105770,3.97,4.0
789,105595,4.2,4.0
876,105473,4.13,4.0
991,105414,3.95,4.0
785,105317,4.08,4.0
844,105192,4.21,4.0
709,105138,4.19,4.0
920,105063,3.77,4.0
860,105032,3.94,4.0
806,105026,4.24,4.0
858,104939,4.26,4.0
1066,104730,3.96,4.0
863,104690,4.36,4.0
905,104677,4.15,4.0
835,104633,4.35,4.0
987,104579,4.36,4.0
744,104549,4.1,4.0
838,104467,3.77,4.0
840,104339,4.37,4.0
901,104283,4.0,4.0
1086,104252,4.02,4.0
865,104248,3.96,4.0
927,104168,4.16,4.0
1039,103995,3.28,3.0
907,103933,4.1,4.0
821,103915,3.91,4.0
1394,103844,4.01,4.0
864,103552,4.26,4.0
887,103547,3.72,4.0
919,103151,3.83,4.0
816,102936,3.85,4.0
870,102923,4.3,4.0
776,102746,3.79,4.0
847,102733,3.84,4.0
833,102715,3.76,4.0
899,102646,3.93,4.0
866,102574,3.96,4.0
787,102560,3.98,4.0
881,102419,4.04,4.0
913,102348,4.14,4.0
708,102206,3.69,4.0
784,102193,4.09,4.0
998,102184,4.45,4.0
1080,102012,4.02,4.0
795,101999,3.79,4.0
869,101669,3.73,4.0
777,101436,3.62,4.0
896,101343,4.07,4.0
1163,101325,3.83,4.0
1093,101234,4.02,4.0
1077,101016,3.99,4.0
915,100972,3.79,4.0
811,100936,3.81,4.0
655,100886,3.52,4.0
1118,100593,3.74,4.0
815,100513,4.12,4.0
1351,100464,4.49,4.0
922,100369,3.86,4.0
935,100223,3.94,4.0
911,100158,3.47,3.0
1274,99942,4.06,4.0
848,99926,3.98,4.0
1208,99918,4.21,4.0
1024,99841,3.81,4.0
853,99831,3.86,4.0
886,99729,3.93,4.0
1050,99638,3.96,4.0
1032,99390,4.08,4.0
566,99342,3.7,4.0
1151,99329,4.18,4.0
1223,99311,3.97,4.0
779,99252,4.34,4.0
908,99170,3.48,3.0
1262,99067,4.6,5.0
934,98950,3.81,4.0
929,98795,3.99,4.0
653,98738,4.08,4.0
801,98645,3.88,4.0
845,98628,4.19,4.0
902,98591,4.08,4.0
883,98464,3.95,4.0
867,98379,3.91,4.0
878,98276,4.12,4.0
936,98182,4.17,4.0
933,98180,4.12,4.0
952,98130,3.77,4.0
1008,97938,4.17,4.0
978,97925,4.04,4.0
1289,97830,4.3,4.0
906,97745,3.87,4.0
1034,97736,4.18,4.0
910,97653,4.23,4.0
1293,97616,4.21,4.0
1217,97615,4.21,4.0
1334,97514,4.33,4.0
917,97501,4.14,4.0
879,97468,3.72,4.0
941,97462,3.91,4.0
1045,97058,4.1,4.0
1112,97049,4.21,4.0
790,97016,4.12,4.0
982,96981,4.05,4.0
890,96865,4.23,4.0
946,96568,3.69,4.0
900,96564,4.11,4.0
1333,96417,4.16,4.0
984,96316,3.8,4.0
961,95995,3.93,4.0
1049,95950,4.17,4.0
872,95803,3.97,4.0
1011,95796,4.0,4.0
986,95768,3.56,4.0
1172,95638,4.04,4.0
903,95620,3.62,4.0
1147,95447,3.84,4.0
971,95421,4.15,4.0
1128,95378,4.1,4.0
794,95276,4.1,4.0
1114,95274,4.13,4.0
723,95213,4.26,4.0
1225,95026,4.16,4.0
822,94968,3.7,4.0
944,94821,3.8,4.0
916,94696,3.57,4.0
967,94624,3.74,4.0
895,94590,3.86,4.0
1224,94506,4.15,4.0
1059,94478,3.97,4.0
973,94456,3.57,4.0
1137,94437,4.04,4.0
1095,94282,3.89,4.0
1046,94231,3.85,4.0
1300,94176,3.78,4.0
960,94095,4.34,4.0
836,94012,3.89,4.0
893,93990,4.49,4.0
1058,93963,4.03,4.0
1283,93818,4.08,4.0
1014,93774,4.08,4.0
1013,93640,4.14,4.0
1141,93625,3.86,4.0
955,93498,3.75,4.0
716,93479,3.99,4.0
882,93475,4.16,4.0
1433,93340,4.13,4.0
953,93296,4.27,4.0
949,93227,4.13,4.0
997,93217,4.06,4.0
897,93151,4.06,4.0
1064,93134,3.98,4.0
1087,93119,4.09,4.0
1230,93057,4.17,4.0
1010,93001,4.65,5.0
1038,92980,3.79,4.0
1175,92952,4.18,4.0
1249,92922,4.21,4.0
1303,92916,4.09,4.0
874,92849,4.0,4.0
1180,92737,4.17,4.0
959,92569,3.6,4.0
702,92275,3.81,4.0
975,92158,4.0,4.0
958,92142,4.42,4.0
1551,92014,4.34,4.0
1043,91831,4.1,4.0
966,91774,4.1,4.0
1207,91630,3.81,4.0
956,91625,4.29,4.0
1271,91390,4.04,4.0
988,91383,4.42,4.0
1073,91323,3.76,4.0
1134,91213,4.22,4.0
1023,91046,4.1,4.0
1127,91012,4.3,4.0
1108,90999,4.28,4.0
1003,90917,4.11,4.0
1284,90908,3.85,4.0
964,90907,4.59,5.0
948,90811,3.91,4.0
976,90574,4.44,4.0
924,90551,3.42,3.0
1429,90541,3.67,4.0
965,90483,4.12,4.0
1028,90477,3.55,4.0
1662,90202,4.46,4.0
1349,90157,4.16,4.0
1263,90147,4.41,4.0
1052,90138,3.96,4.0
892,90083,3.9,4.0
1287,90071,4.01,4.0
1184,90032,3.67,4.0
925,89770,3.89,4.0
1126,89733,4.1,4.0
1231,89733,3.94,4.0
